Provinsi/Kabupaten/Kota/Indonesia,
,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
,2018
ACEH,0.204
Simeulue,0.261
Aceh Singkil,0.286
Aceh Selatan,0.234
Aceh Tenggara,0.226
Aceh Timur,0.252
Aceh Tengah,0.178
Aceh Barat,0.3
Aceh Besar,0.102
Pidie,0.198
Bireuen,0.142
Aceh Utara,0.261
Aceh Barat Daya,0.233
Gayo Lues,0.269
Aceh Tamiang,0.159
Nagan Raya,0.289
Aceh Jaya,0.275
Bener Meriah,0.244
Pidie Jaya,0.168
Kota Banda Aceh,0.073
Kota Sabang,0.061
Kota Langsa,0.147
Kota Lhokseumawe,0.165
Kota Subulussalam,0.268
SUMATERA UTARA,0.133
Nias,0.238
Mandailing Natal,0.164
Tapanuli Selatan,0.169
Tapanuli Tengah,0.152
Tapanuli Utara,0.031
Toba Samosir / Toba,0.102
Labuhan Batu,0.147
Asahan,0.178
Simalungun,0.087
Dairi,0.045
Karo,0.216
Deli Serdang,0.129
Langkat,0.182
Nias Selatan,0.21
Humbang Hasundutan,0.085
Pakpak Bharat,0.116
Samosir,0.053
Serdang Bedagai,0.139
Batu Bara,0.16
Padang Lawas Utara,0.177
Padang Lawas,0.233
Labuhan Batu Selatan,0.154
Labuhan Batu Utara,0.207
Nias Utara,0.199
Nias Barat,0.132
Kota Sibolga,0.126
Kota Tanjung Balai,0.168
Kota Pematang Siantar,0.051
Kota Tebing Tinggi,0.076
Kota Medan,0.062
Kota Binjai,0.058
Kota Padangsidimpuan,0.187
Kota Gunungsitoli,0.141
SUMATERA BARAT,0.157
Kepulauan Mentawai,0.346
Pesisir Selatan,0.221
Solok,0.162
Sijunjung,0.284
Tanah Datar,0.096
Padang Pariaman,0.099
Agam,0.059
Lima Puluh Kota,0.185
Pasaman,0.154
Solok Selatan,0.284
Dharmasraya,0.276
Pasaman Barat,0.258
Kota Padang,0.063
Kota Solok,0.087
Kota Sawah Lunto,0.072
Kota Padang Panjang,0.028
Kota Bukittinggi,0.097
Kota Payakumbuh,0.099
Kota Pariaman,0.049
RIAU,0.222
Kuantan Singingi,0.279
Indragiri Hulu,0.302
Indragiri Hilir,0.296
Pelalawan,0.251
Siak,0.146
Kampar,0.256
Rokan Hulu,0.28
Bengkalis,0.159
Rokan Hilir,0.239
Kepulauan Meranti,0.179
Kota Pekanbaru,0.137
Kota Dumai,0.093
JAMBI,0.3
Kerinci,0.34
Merangin,0.431
Sarolangun,0.368
Batang Hari,0.289
Muaro Jambi,0.236
Tanjung Jabung Timur,0.253
Tanjung Jabung Barat,0.284
Tebo,0.35
Bungo,0.444
Kota Jambi,0.109
Kota Sungai Penuh,0.186
SUMATERA SELATAN,0.283
Ogan Komering Ulu,0.307
Ogan Komering Ilir,0.353
Muara Enim,0.328
Lahat,0.272
Musi Rawas,0.307
Musi Banyuasin,0.385
Banyu Asin,0.268
Ogan Komering Ulu Selatan,0.305
Ogan Komering Ulu Timur,0.292
Ogan Ilir,0.224
Empat Lawang,0.39
Penukal Abab Lematang Ilir,0.473
Musi Rawas Utara,0.4
Kota Palembang,0.147
Kota Prabumulih,0.205
Kota Pagar Alam,0.166
Kota Lubuklinggau,0.218
BENGKULU,0.299
Bengkulu Selatan,0.261
Rejang Lebong,0.308
Bengkulu Utara,0.32
Kaur,0.277
Seluma,0.398
Mukomuko,0.436
Lebong,0.353
Kepahiang,0.304
Bengkulu Tengah,0.368
Kota Bengkulu,0.111
LAMPUNG,0.238
Lampung Barat,0.285
Tanggamus,0.266
Lampung Selatan,0.267
Lampung Timur,0.231
Lampung Tengah,0.212
Lampung Utara,0.293
Way Kanan,0.298
Tulangbawang,0.38
Pesawaran,0.165
Pringsewu,0.16
Mesuji,0.389
Tulang Bawang Barat,0.301
Pesisir Barat,0.253
Kota Bandar Lampung,0.097
Kota Metro,0.15
KEP. BANGKA BELITUNG,0.255
Bangka,0.145
Belitung,0.251
Bangka Barat,0.309
Bangka Tengah,0.3
Bangka Selatan,0.405
Belitung Timur,0.278
Kota Pangkal Pinang,0.144
KEPULAUAN RIAU,0.104
Karimun,0.168
Bintan,0.188
Natuna,0.233
Lingga,0.238
Kepulauan Anambas,0.203
Kota Batam,0.069
Kota Tanjung Pinang,0.084
DKI JAKARTA,0.124
Kep. Seribu,0.217
Kota Jakarta Selatan,0.101
Kota Jakarta Timur,0.095
Kota Jakarta Pusat,0.114
Kota Jakarta Barat,0.165
Kota Jakarta Utara,0.146
JAWA BARAT,0.279
Bogor,0.312
Sukabumi,0.429
Cianjur,0.41
Bandung,0.285
Garut,0.355
Tasikmalaya,0.302
Ciamis,0.26
Kuningan,0.275
Cirebon,0.268
Majalengka,0.284
Sumedang,0.245
Indramayu,0.345
Subang,0.317
Purwakarta,0.311
Karawang,0.307
Bekasi,0.21
Bandung Barat,0.345
Pangandaran,0.234
Kota Bogor,0.231
Kota Sukabumi,0.252
Kota Bandung,0.125
Kota Cirebon,0.255
Kota Bekasi,0.153
Kota Depok,0.163
Kota Cimahi,0.189
Kota Tasikmalaya,0.249
Kota Banjar,0.163
JAWA TENGAH,0.222
Cilacap,0.209
Banyumas,0.205
Purbalingga,0.252
Banjarnegara,0.361
Kebumen,0.134
Purworejo,0.227
Wonosobo,0.373
Magelang,0.136
Boyolali,0.173
Klaten,0.081
Sukoharjo,0.081
Wonogiri,0.162
Karanganyar,0.132
Sragen,0.14
Grobogan,0.438
Blora,0.311
Rembang,0.334
Pati,0.213
Kudus,0.126
Jepara,0.288
Demak,0.237
Semarang,0.226
Temanggung,0.295
